2025-02-27T08:37:02.105+03:00 appender 7112 --- [main] c.e.u.StickersCreateApplication          : Starting StickersCreateApplication using Java 21.0.2 with PID 7112 (D:\rpo\java\Stickers2\target\classes started by 8_kovalenko_351 in D:\rpo\java\Stickers2)
2025-02-27T08:37:02.124+03:00 appender 7112 --- [main] c.e.u.StickersCreateApplication          : No active profile set, falling back to 1 default profile: "default"
2025-02-27T08:37:05.145+03:00 appender 7112 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8081 (http)
2025-02-27T08:37:05.164+03:00 appender 7112 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-02-27T08:37:05.166+03:00 appender 7112 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.28]
2025-02-27T08:37:05.269+03:00 appender 7112 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-02-27T08:37:05.270+03:00 appender 7112 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2956 ms
2025-02-27T08:37:06.335+03:00 appender 7112 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
2025-02-27T08:37:06.447+03:00 appender 7112 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8081 (http) with context path '/'
2025-02-27T08:37:06.470+03:00 appender 7112 --- [main] c.e.u.StickersCreateApplication          : Started StickersCreateApplication in 5.114 seconds (process running for 7.353)
2025-02-27T08:37:06.532+03:00 appender 7112 --- [main] c.e.u.FileUploadRestController           : ZIP-архив с файлами-справочниками не найден в папке Downloads
2025-02-27T08:44:42.346+03:00 appender 7112 --- [http-nio-8081-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-27T08:44:42.347+03:00 appender 7112 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-02-27T08:44:42.349+03:00 appender 7112 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2025-02-27T08:48:46.673+03:00 appender 16336 --- [main] c.e.u.StickersCreateApplication          : Starting StickersCreateApplication using Java 21.0.2 with PID 16336 (D:\rpo\java\Stickers2\target\classes started by 8_kovalenko_351 in D:\rpo\java\Stickers2)
2025-02-27T08:48:46.676+03:00 appender 16336 --- [main] c.e.u.StickersCreateApplication          : No active profile set, falling back to 1 default profile: "default"
2025-02-27T08:48:49.302+03:00 appender 16336 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8081 (http)
2025-02-27T08:48:49.327+03:00 appender 16336 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-02-27T08:48:49.327+03:00 appender 16336 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.28]
2025-02-27T08:48:49.428+03:00 appender 16336 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-02-27T08:48:49.428+03:00 appender 16336 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2648 ms
2025-02-27T08:48:51.089+03:00 appender 16336 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
2025-02-27T08:48:51.213+03:00 appender 16336 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8081 (http) with context path '/'
2025-02-27T08:48:51.238+03:00 appender 16336 --- [main] c.e.u.StickersCreateApplication          : Started StickersCreateApplication in 5.451 seconds (process running for 8.007)
2025-02-27T08:48:51.358+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом.xlsx
2025-02-27T08:48:54.008+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.1717844 сек.
2025-02-27T08:48:54.011+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T08:48:54.083+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0713872 сек.
2025-02-27T08:48:54.085+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T08:48:54.089+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T08:48:54.097+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_1.xlsx
2025-02-27T08:48:55.237+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0485549 сек.
2025-02-27T08:48:55.238+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T08:48:55.268+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0349294 сек.
2025-02-27T08:48:55.268+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T08:48:55.277+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_1.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T08:48:55.280+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_2.xlsx
2025-02-27T08:48:56.291+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0621945 сек.
2025-02-27T08:48:56.294+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T08:48:56.347+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0508878 сек.
2025-02-27T08:48:56.347+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T08:48:56.351+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_2.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T08:48:56.353+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_3.xlsx
2025-02-27T08:48:57.157+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0438162 сек.
2025-02-27T08:48:57.157+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T08:48:57.187+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0285283 сек.
2025-02-27T08:48:57.187+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T08:48:57.191+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_3.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T08:48:57.191+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_4.xlsx
2025-02-27T08:48:57.774+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0354957 сек.
2025-02-27T08:48:57.775+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T08:48:57.802+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0245838 сек.
2025-02-27T08:48:57.804+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T08:48:57.807+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_4.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T08:48:57.809+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_5.xlsx
2025-02-27T08:48:58.446+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0308012 сек.
2025-02-27T08:48:58.446+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T08:48:58.473+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0210015 сек.
2025-02-27T08:48:58.473+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T08:48:58.481+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_5.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T08:48:58.483+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_6.xlsx
2025-02-27T08:48:59.202+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.034672 сек.
2025-02-27T08:48:59.204+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T08:48:59.228+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0240674 сек.
2025-02-27T08:48:59.229+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T08:48:59.236+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_6.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T08:48:59.238+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_7.xlsx
2025-02-27T08:48:59.347+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0034796 сек.
2025-02-27T08:48:59.347+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T08:48:59.354+03:00 appender 16336 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0058104 сек.
2025-02-27T08:48:59.356+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T08:48:59.357+03:00 appender 16336 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_7.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:00:38.127+03:00 appender 16336 --- [http-nio-8081-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-27T09:00:38.129+03:00 appender 16336 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-02-27T09:00:38.138+03:00 appender 16336 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 9 ms
2025-02-27T09:01:07.764+03:00 appender 16336 --- [http-nio-8081-exec-1] o.s.web.servlet.PageNotFound             : No mapping for GET /favicon.ico
2025-02-27T09:01:07.772+03:00 appender 16336 --- [http-nio-8081-exec-1] o.s.web.servlet.PageNotFound             : No endpoint GET /favicon.ico.
2025-02-27T09:12:10.302+03:00 appender 7520 --- [main] c.e.u.StickersCreateApplication          : Starting StickersCreateApplication using Java 21.0.2 with PID 7520 (D:\rpo\java\Stickers2\target\classes started by 8_kovalenko_351 in D:\rpo\java\Stickers2)
2025-02-27T09:12:10.306+03:00 appender 7520 --- [main] c.e.u.StickersCreateApplication          : No active profile set, falling back to 1 default profile: "default"
2025-02-27T09:12:12.767+03:00 appender 7520 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8081 (http)
2025-02-27T09:12:12.804+03:00 appender 7520 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-02-27T09:12:12.806+03:00 appender 7520 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.28]
2025-02-27T09:12:12.983+03:00 appender 7520 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-02-27T09:12:12.984+03:00 appender 7520 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2577 ms
2025-02-27T09:12:14.243+03:00 appender 7520 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
2025-02-27T09:12:14.353+03:00 appender 7520 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8081 (http) with context path '/'
2025-02-27T09:12:14.368+03:00 appender 7520 --- [main] c.e.u.StickersCreateApplication          : Started StickersCreateApplication in 4.816 seconds (process running for 8.074)
2025-02-27T09:12:25.996+03:00 appender 7520 --- [http-nio-8081-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-27T09:12:25.998+03:00 appender 7520 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-02-27T09:12:26.002+03:00 appender 7520 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2025-02-27T09:12:36.287+03:00 appender 7520 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом.xlsx
2025-02-27T09:13:38.414+03:00 appender 7520 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 2.3437485 сек.
2025-02-27T09:13:38.414+03:00 appender 7520 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:13:39.796+03:00 appender 7520 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 1.3811143 сек.
2025-02-27T09:13:39.797+03:00 appender 7520 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:13:39.815+03:00 appender 7520 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:13:39.815+03:00 appender 7520 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_1.xlsx
2025-02-27T09:14:38.394+03:00 appender 7520 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 2.3113678 сек.
2025-02-27T09:14:38.394+03:00 appender 7520 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:14:39.788+03:00 appender 7520 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 1.3929503 сек.
2025-02-27T09:14:39.790+03:00 appender 7520 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:14:39.816+03:00 appender 7520 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_1.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:14:39.819+03:00 appender 7520 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_2.xlsx
2025-02-27T09:15:07.719+03:00 appender 12308 --- [main] c.e.u.StickersCreateApplication          : Starting StickersCreateApplication using Java 21.0.2 with PID 12308 (D:\rpo\java\Stickers2\target\classes started by 8_kovalenko_351 in D:\rpo\java\Stickers2)
2025-02-27T09:15:07.727+03:00 appender 12308 --- [main] c.e.u.StickersCreateApplication          : No active profile set, falling back to 1 default profile: "default"
2025-02-27T09:15:09.884+03:00 appender 12308 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8081 (http)
2025-02-27T09:15:09.907+03:00 appender 12308 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-02-27T09:15:09.910+03:00 appender 12308 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.28]
2025-02-27T09:15:10.026+03:00 appender 12308 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-02-27T09:15:10.027+03:00 appender 12308 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1941 ms
2025-02-27T09:15:10.934+03:00 appender 12308 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
2025-02-27T09:15:11.033+03:00 appender 12308 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8081 (http) with context path '/'
2025-02-27T09:15:11.045+03:00 appender 12308 --- [main] c.e.u.StickersCreateApplication          : Started StickersCreateApplication in 4.199 seconds (process running for 6.039)
2025-02-27T09:15:15.294+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом.xlsx
2025-02-27T09:15:18.093+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.1024837 сек.
2025-02-27T09:15:18.093+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:15:18.149+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0466411 сек.
2025-02-27T09:15:18.150+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
